cost_component,cost_category,trust,district_coverage,unit,rate_low,rate_high,minimum_charge,peak_offpeak_distinction,notes,valid_from,valid_to,source
Fixed service charge,Infrastructure access,Renmark Irrigation Trust (RIT),"Renmark, Paringa, Cooltong, Chaffey",Per rated hectare per year,441.2,441.2,441.2,No,Annual fixed charge to access RIT infrastructure. Applies regardless of how much water is used. Minimum charge of $441.20 even for small blocks.,2025-07-01,2025-12-31,RIT Schedule of Charges Jul-Dec 2025 (Rate Notice 51) — rit.org.au/fees-and-prices/
Fixed service charge,Infrastructure access,Central Irrigation Trust (CIT) — standard districts,"Berri, Cobdogla, Kingston, Loxton, Moorook, Waikerie, Cadell, Mypolonga",Per ML of Water Delivery Rights per year,33.4,33.4,725.0,No,Annual service charge based on delivery rights held. Minimum $725 regardless of volume. Golden Heights and Sunlands districts are higher at $50.90/ML and $65.40/ML respectively.,2025-10-01,2026-09-30,CIT Schedule of Charges Oct 2025 — cit.org.au
Water delivery fee,Variable usage charge,Renmark Irrigation Trust (RIT),"Renmark, Paringa — low pressure zones",Per ML delivered,58.7,58.7,0,No,Low pressure delivery (gravity-assisted). Most Renmark district blocks. For a typical wine grape block using 8 ML/ha/season: $58.70 x 8 = $469.60/ha in delivery fees alone.,2025-07-01,2025-12-31,RIT Schedule of Charges Jul-Dec 2025 (Rate Notice 51) — rit.org.au/fees-and-prices/
Water delivery fee,Variable usage charge,Renmark Irrigation Trust (RIT),"Renmark, Paringa — high pressure zones",Per ML delivered,147.1,147.1,0,No,"High pressure delivery (pumped uphill). Significantly more expensive due to energy cost of pumping. For a typical wine grape block using 8 ML/ha/season: $147.10 x 8 = $1,176.80/ha in delivery fees alone.",2025-07-01,2025-12-31,RIT Schedule of Charges Jul-Dec 2025 (Rate Notice 51) — rit.org.au/fees-and-prices/
Water delivery fee,Variable usage charge,Central Irrigation Trust (CIT),"Berri, Cobdogla, Kingston, Moorook, Waikerie — low pressure",Per ML delivered,28.0,41.8,0,"Yes — $28.00 off-peak, $41.80 peak (07:00-21:00 Mon-Fri)","Lowest delivery cost in the Riverland. Farmers who can schedule irrigation overnight (23:00-07:00) save $13.80/ML vs peak daytime irrigation. At 8 ML/ha, that is $110/ha saving per season. This directly supports the MVP irrigation scheduling module.",2025-10-01,2026-09-30,CIT Schedule of Charges Oct 2025 — cit.org.au
Water delivery fee,Variable usage charge,Central Irrigation Trust (CIT),"Cadell, Mypolonga — medium pressure",Per ML delivered,40.8,61.3,0,"Yes — $40.80 off-peak, $61.30 peak",Medium pressure zone — higher pumping costs than low pressure districts.,2025-10-01,2026-09-30,CIT Schedule of Charges Oct 2025 — cit.org.au
Water delivery fee,Variable usage charge,Central Irrigation Trust (CIT),Loxton — medium-high pressure (below 35m head),Per ML delivered,53.3,77.6,0,"Yes — $53.30 off-peak, $77.60 peak",Loxton district partially elevated — higher pumping requirement.,2025-10-01,2026-09-30,CIT Schedule of Charges Oct 2025 — cit.org.au
Water delivery fee,Variable usage charge,Central Irrigation Trust (CIT),"Chaffey (Cooltong), Loxton — high pressure",Per ML delivered,55.8,81.0,0,"Yes — $55.80 off-peak, $81.00 peak",High pressure zones within Chaffey and Loxton. Peak vs off-peak savings of $25.20/ML makes overnight scheduling particularly valuable here.,2025-10-01,2026-09-30,CIT Schedule of Charges Oct 2025 — cit.org.au
Water delivery fee,Variable usage charge,Central Irrigation Trust (CIT),"Golden Heights, Sunlands — high lift high pressure",Per ML delivered,85.0,123.5,0,"Yes — $85.00 off-peak, $123.50 peak","Most expensive delivery in the Riverland — water must be pumped to significant elevation. At 8 ML/ha, peak delivery alone costs $988/ha. These farmers have the most to gain from overnight scheduling.",2025-10-01,2026-09-30,CIT Schedule of Charges Oct 2025 — cit.org.au
Landscape water levy,Government pass-through,All CIT districts (standard),"Berri, Cobdogla, Kingston, Loxton, Moorook, Waikerie, Cadell, Mypolonga, Chaffey, Loxton-high",Per ML of irrigation rights per year,8.29,8.29,0,No,Government levy collected for the Murraylands and Riverland Landscape Board under Section 76 of the Landscape South Australia Act 2019. At 8 ML/ha wine grapes: $66.32/ha per year. Same levy applies to RIT customers.,2025-07-01,2026-06-30,CIT Schedule of Charges Oct 2025 + RIT Schedule Jul 2025 — Murraylands and Riverland Landscape Board
Landscape water levy,Government pass-through,CIT — Golden Heights / Sunlands only,"Golden Heights, Sunlands",Per ML of irrigation rights per year,7.86,7.86,0,No,Slightly lower levy rate for Qualco-Sunlands area — set by the Landscape Board for this sub-region.,2025-07-01,2026-06-30,CIT Schedule of Charges Oct 2025 — Murraylands and Riverland Landscape Board
Water market allocation price,Market-traded water entitlement,SA River Murray (all trusts),All Riverland districts,Per ML purchased on market,29,450,0,No — market price fluctuates seasonally,"SEPARATE from and in addition to delivery fees. This is the market price to buy the water allocation itself before it can be delivered. Highly volatile — ranged from $29/ML (2022-23 wet year) to $450/ML (2008-09 Millennium Drought peak). 2024-25 SA Murray annual volume-weighted average: $153/ML (Ricardo Water Markets Report 2025). 2024-25 water LEASE prices for Riverland: ~$300/ML (Riverland Wine open letter Nov 2025). For wine grapes using 8 ML/ha: at $153/ML market price, water purchase alone costs $1,224/ha — more than input costs in many years.",2024-07-01,2025-06-30,Ricardo Water Markets Report 2025 — VWAP $153/ML | ABARES MDB Water Market Dataset | Riverland Wine open letter Nov 2025
WORKED EXAMPLE — total water cost,Full season cost summary,Renmark Irrigation Trust (RIT) — low pressure,Renmark/Paringa wine grape block — typical season,Per hectare per season,977,2239,0,No,"Low estimate ($977/ha): Fixed access charge ($441) + delivery fee 8ML x $58.70 ($470) + landscape levy 8ML x $8.29 ($66). EXCLUDES water market purchase cost. High estimate ($2,239/ha): Same fixed and delivery costs PLUS water market allocation at $153/ML x 8ML ($1,224). In crisis drought years (2019-20), water market at $420/ML would add $3,360/ha — making total water cost ~$4,337/ha against revenue of only ~$2,200/ha for wine grapes.",2025-07-01,2025-12-31,Calculated from RIT Schedule Jul 2025 + Ricardo Water Markets Report 2025
WORKED EXAMPLE — total water cost,Full season cost summary,Central Irrigation Trust (CIT) — low pressure off-peak scheduling,Berri/Waikerie wine grape block — overnight irrigation scheduling,Per hectare per season,857,2081,0,Yes — assumes 100% off-peak scheduling,"Low estimate ($857/ha): Service charge at $33.40/ML x 8ML ($267) + off-peak delivery 8ML x $28 ($224) + landscape levy ($66). EXCLUDES water market. High estimate ($2,081/ha): Same plus water market at $153/ML x 8ML ($1,224). Compared to peak irrigation (all daytime): delivery component rises from $224 to $334 — saving $110/ha/season by scheduling overnight. This is the direct financial benefit of the MVP Water & Irrigation module's scheduling feature.",2025-10-01,2026-09-30,Calculated from CIT Schedule Oct 2025 + Ricardo Water Markets Report 2025
