year,region,variety,colour,avg_price_per_t,approx_crush_tonnes,price_trend,source
2015,Riverland_SA,Shiraz,red,320,95000,declining,WineAustralia_NVR_Vinehealth_Riverland_Reports
2016,Riverland_SA,Shiraz,red,305,88000,declining,WineAustralia_NVR_Vinehealth_Riverland_Reports
2017,Riverland_SA,Shiraz,red,300,91000,stable,WineAustralia_NVR_Vinehealth_Riverland_Reports
2018,Riverland_SA,Shiraz,red,290,89000,declining,WineAustralia_NVR_Vinehealth_Riverland_Reports
2019,Riverland_SA,Shiraz,red,275,82000,crisis_emerging,WineAustralia_NVR_Vinehealth_Riverland_Reports
2020,Riverland_SA,Shiraz,red,260,75000,china_tariffs,WineAustralia_NVR_Vinehealth_Riverland_Reports
2021,Riverland_SA,Shiraz,red,240,80000,oversupply,WineAustralia_NVR_Vinehealth_Riverland_Reports
2022,Riverland_SA,Shiraz,red,215,85000,oversupply_deep,WineAustralia_NVR_Vinehealth_Riverland_Reports
2023,Riverland_SA,Shiraz,red,195,68000,crisis,WineAustralia_NVR_Vinehealth_Riverland_Reports
2024,Riverland_SA,Shiraz,red,185,64000,crisis_2024,WineAustralia_NVR_Vinehealth_Riverland_Reports
2025,Riverland_SA,Shiraz,red,200,66000,slight_recovery_2025,WineAustralia_NVR_Vinehealth_Riverland_Reports
2015,Riverland_SA,Cabernet Sauvignon,red,335,42000,declining,WineAustralia_NVR_Vinehealth_Riverland_Reports
2016,Riverland_SA,Cabernet Sauvignon,red,320,39000,declining,WineAustralia_NVR_Vinehealth_Riverland_Reports
2017,Riverland_SA,Cabernet Sauvignon,red,315,40000,stable,WineAustralia_NVR_Vinehealth_Riverland_Reports
2018,Riverland_SA,Cabernet Sauvignon,red,300,38000,declining,WineAustralia_NVR_Vinehealth_Riverland_Reports
2019,Riverland_SA,Cabernet Sauvignon,red,285,35000,crisis_emerging,WineAustralia_NVR_Vinehealth_Riverland_Reports
2020,Riverland_SA,Cabernet Sauvignon,red,270,32000,china_tariffs,WineAustralia_NVR_Vinehealth_Riverland_Reports
2021,Riverland_SA,Cabernet Sauvignon,red,250,34000,oversupply,WineAustralia_NVR_Vinehealth_Riverland_Reports
2022,Riverland_SA,Cabernet Sauvignon,red,225,36000,oversupply_deep,WineAustralia_NVR_Vinehealth_Riverland_Reports
2023,Riverland_SA,Cabernet Sauvignon,red,205,30000,crisis,WineAustralia_NVR_Vinehealth_Riverland_Reports
2024,Riverland_SA,Cabernet Sauvignon,red,195,28000,crisis_2024,WineAustralia_NVR_Vinehealth_Riverland_Reports
2025,Riverland_SA,Cabernet Sauvignon,red,210,29000,slight_recovery,WineAustralia_NVR_Vinehealth_Riverland_Reports
2015,Riverland_SA,Chardonnay,white,310,88000,normal,WineAustralia_NVR_Vinehealth_Riverland_Reports
2016,Riverland_SA,Chardonnay,white,298,90000,normal,WineAustralia_NVR_Vinehealth_Riverland_Reports
2017,Riverland_SA,Chardonnay,white,305,95000,normal,WineAustralia_NVR_Vinehealth_Riverland_Reports
2018,Riverland_SA,Chardonnay,white,312,98000,rising,WineAustralia_NVR_Vinehealth_Riverland_Reports
2019,Riverland_SA,Chardonnay,white,320,92000,rising,WineAustralia_NVR_Vinehealth_Riverland_Reports
2020,Riverland_SA,Chardonnay,white,330,85000,white_premium,WineAustralia_NVR_Vinehealth_Riverland_Reports
2021,Riverland_SA,Chardonnay,white,340,90000,white_premium,WineAustralia_NVR_Vinehealth_Riverland_Reports
2022,Riverland_SA,Chardonnay,white,335,94000,white_premium,WineAustralia_NVR_Vinehealth_Riverland_Reports
2023,Riverland_SA,Chardonnay,white,348,100000,white_outperforming,WineAustralia_NVR_Vinehealth_Riverland_Reports
2024,Riverland_SA,Chardonnay,white,366,106738,white_strong_2024,WineAustralia_NVR_Vinehealth_Riverland_Reports
2025,Riverland_SA,Chardonnay,white,390,98000,white_price_up_6pct,WineAustralia_NVR_Vinehealth_Riverland_Reports
2020,Riverland_SA,Colombard,white,295,22000,normal,WineAustralia_NVR_Vinehealth_Riverland_Reports
2021,Riverland_SA,Colombard,white,295,23000,normal,WineAustralia_NVR_Vinehealth_Riverland_Reports
2022,Riverland_SA,Colombard,white,290,24000,normal,WineAustralia_NVR_Vinehealth_Riverland_Reports
2023,Riverland_SA,Colombard,white,285,21000,normal,WineAustralia_NVR_Vinehealth_Riverland_Reports
2024,Riverland_SA,Colombard,white,280,22469,normal,WineAustralia_NVR_Vinehealth_Riverland_Reports
2025,Riverland_SA,Colombard,white,295,20000,normal,WineAustralia_NVR_Vinehealth_Riverland_Reports
2022,Riverland_SA,Merlot,red,210,18000,crisis,WineAustralia_NVR_Vinehealth_Riverland_Reports
2023,Riverland_SA,Merlot,red,195,15000,crisis,WineAustralia_NVR_Vinehealth_Riverland_Reports
2024,Riverland_SA,Merlot,red,185,14000,crisis_2024,WineAustralia_NVR_Vinehealth_Riverland_Reports
2025,Riverland_SA,Merlot,red,195,15000,slight_recovery,WineAustralia_NVR_Vinehealth_Riverland_Reports
