year,region,crop_type,water_alloc_pct,water_market_price_ml,water_delivery_cost_ml,landscape_levy_ml,water_use_ml_ha,rainfall_mm_annual,max_temp_avg_c,growing_degree_days,grape_price_red_per_t,grape_price_white_per_t,yield_t_ha,input_cost_ha,water_total_cost_ha,revenue_ha,net_margin_ha,capital_investment,years_to_profit,scenario_label,data_source
2008,Riverland_SA,wine_grapes,75,218,58.7,8.29,8.0,213,33.1,4158,280,260,8.5,5500,1234,2380,-1120,0,ongoing,millennium_drought_end,WineAustralia_Vinehealth_Ricardo_ABARES_DEW_BOM
2009,Riverland_SA,wine_grapes,68,340,58.7,8.29,8.0,189,33.8,4284,260,245,7.8,5700,1624,2028,-1660,0,ongoing,drought,WineAustralia_Vinehealth_Ricardo_ABARES_DEW_BOM
2010,Riverland_SA,wine_grapes,100,45,58.7,8.29,8.0,287,32.4,4032,295,270,9.2,5600,680,2714,-776,0,ongoing,flood_year_low_price,WineAustralia_Vinehealth_Ricardo_ABARES_DEW_BOM
2011,Riverland_SA,wine_grapes,100,29,58.7,8.29,8.0,312,31.9,3942,305,280,10.1,5650,629,3080,-220,0,ongoing,high_alloc_low_price,WineAustralia_Vinehealth_Ricardo_ABARES_DEW_BOM
2012,Riverland_SA,wine_grapes,100,38,58.7,8.29,8.0,241,32.8,4104,315,295,9.6,5800,658,3024,-268,0,ongoing,normal,WineAustralia_Vinehealth_Ricardo_ABARES_DEW_BOM
2013,Riverland_SA,wine_grapes,100,52,58.7,8.29,8.0,226,33.2,4176,310,290,9.1,5900,702,2821,-416,0,ongoing,normal,WineAustralia_Vinehealth_Ricardo_ABARES_DEW_BOM
2014,Riverland_SA,wine_grapes,100,65,58.7,8.29,8.0,218,33.5,4230,305,285,8.8,6000,744,2684,-704,0,ongoing,prices_declining,WineAustralia_Vinehealth_Ricardo_ABARES_DEW_BOM
2015,Riverland_SA,wine_grapes,100,94,58.7,8.29,8.0,198,33.9,4302,290,270,8.5,6100,837,2465,-975,0,ongoing,prices_declining,WineAustralia_Vinehealth_Ricardo_ABARES_DEW_BOM
2016,Riverland_SA,wine_grapes,100,85,58.7,8.29,8.0,209,33.6,4248,285,268,9.0,6200,808,2565,-855,0,ongoing,oversupply_building,WineAustralia_Vinehealth_Ricardo_ABARES_DEW_BOM
2017,Riverland_SA,wine_grapes,100,110,58.7,8.29,8.0,221,33.3,4194,295,275,9.3,6300,888,2744,-600,0,ongoing,normal,WineAustralia_Vinehealth_Ricardo_ABARES_DEW_BOM
2018,Riverland_SA,wine_grapes,100,145,58.7,8.29,8.0,197,33.7,4266,290,272,8.9,6500,1000,2581,-685,0,ongoing,water_cost_rising,WineAustralia_Vinehealth_Ricardo_ABARES_DEW_BOM
2019,Riverland_SA,wine_grapes,100,420,58.7,8.29,8.0,172,34.2,4356,280,265,8.2,7000,1880,2296,-1740,0,ongoing,drought_water_spike,WineAustralia_Vinehealth_Ricardo_ABARES_DEW_BOM
2020,Riverland_SA,wine_grapes,100,380,58.7,8.29,8.0,185,33.9,4302,272,258,8.0,7200,1752,2176,-2024,0,ongoing,drought_china_tariffs,WineAustralia_Vinehealth_Ricardo_ABARES_DEW_BOM
2021,Riverland_SA,wine_grapes,100,180,58.7,8.29,8.0,247,32.8,4104,258,245,9.8,7400,1112,2528,-1876,0,ongoing,post_drought_oversupply,WineAustralia_Vinehealth_Ricardo_ABARES_DEW_BOM
2022,Riverland_SA,wine_grapes,100,60,58.7,8.29,8.0,268,32.5,4050,245,232,10.2,7600,728,2499,-2060,0,ongoing,oversupply_crisis,WineAustralia_Vinehealth_Ricardo_ABARES_DEW_BOM
2023,Riverland_SA,wine_grapes,100,29,58.7,8.29,8.0,254,32.9,4122,230,220,8.5,7800,629,1955,-2175,0,ongoing,crisis_low_crush,WineAustralia_Vinehealth_Ricardo_ABARES_DEW_BOM
2024,Riverland_SA,wine_grapes,100,94,58.7,8.29,8.0,219,33.4,4212,220,210,7.9,8000,837,1738,-2590,0,ongoing,crisis_2024,WineAustralia_Vinehealth_Ricardo_ABARES_DEW_BOM
2025,Riverland_SA,wine_grapes,100,153,58.7,8.29,8.0,208,33.6,4248,235,225,8.1,8200,1026,1904,-2285,0,ongoing,crisis_2025,WineAustralia_Vinehealth_Ricardo_ABARES_DEW_BOM
2026,Riverland_SA,normal_year,100,100,58.7,8.29,8.0,220,33.0,4140,280,,8.5,8200,856,2380,-6676,0,ongoing,normal_year,scenario_projection_2026
2026,Riverland_SA,drought_mild,100,200,58.7,8.29,8.0,180,34.5,4410,270,,7.8,8500,1176,2106,-7570,0,ongoing,drought_mild,scenario_projection_2026
2026,Riverland_SA,drought_severe,85,450,58.7,8.29,8.0,145,35.5,4590,255,,6.5,9000,1976,1658,-9318,0,ongoing,drought_severe,scenario_projection_2026
2026,Riverland_SA,water_cut_50pct,50,600,58.7,8.29,8.0,130,36.0,4680,240,,4.2,9500,2456,1008,-10948,0,ongoing,water_cut_50pct,scenario_projection_2026
2026,Riverland_SA,water_cut_70pct,30,900,58.7,8.29,8.0,115,36.8,4824,200,,2.5,9800,3416,500,-12716,0,ongoing,water_cut_70pct,scenario_projection_2026
2026,Riverland_SA,price_collapse,100,80,58.7,8.29,8.0,225,33.0,4140,90,,8.5,8200,792,765,-8227,0,ongoing,price_collapse,scenario_projection_2026
2026,Riverland_SA,price_recovery,100,90,58.7,8.29,8.0,230,32.8,4104,380,,9.0,8200,824,3420,-5604,0,ongoing,price_recovery,scenario_projection_2026
2026,Riverland_SA,bankruptcy_risk,50,800,58.7,8.29,8.0,130,36.5,4770,80,,3.0,10000,3096,240,-12856,0,ongoing,bankruptcy_risk,scenario_projection_2026
2026,Riverland_SA,transition_olive_yr1,100,120,58.7,8.29,8.0,210,33.0,4140,0,,0.0,9000,920,0,-9920,28500,4-6 years,transition_olive_yr1,scenario_projection_2026
2026,Riverland_SA,transition_olive_yr5,100,120,58.7,8.29,8.0,210,33.0,4140,0,,0.0,6500,920,20000,12580,28500,4-6 years,transition_olive_yr5,scenario_projection_2026
2026,Riverland_SA,transition_olive_yr7,100,120,58.7,8.29,8.0,210,33.0,4140,0,,0.0,5900,920,62500,55680,28500,completed,transition_olive_yr7,scenario_projection_2026
2026,Riverland_SA,almond_mature,100,120,58.7,8.29,8.0,210,33.0,4140,0,,3.2,7500,920,45000,36580,40000,5 years,almond_mature,scenario_projection_2026
2026,Riverland_SA,citrus_mature,100,110,58.7,8.29,8.0,210,33.0,4140,0,,0.0,8500,888,75000,65612,32500,4 years,citrus_mature,scenario_projection_2026
2026,Riverland_SA,table_grapes_mature,100,105,58.7,8.29,8.0,210,33.0,4140,0,,0.0,7800,872,42000,33328,25000,3 years,table_grapes_mature,scenario_projection_2026
